ID,Nombre,Categoría,Subcategoría,Marca,Precio (USD),Stock,País,Idioma,Descripción,Valoración,Opiniones
1,Guantes de boxeo Pro 863,Artes marciales mixtas,Guantes de boxeo,NutriSport,87.19,146,Perú,español,Artículo de Guantes de boxeo ideal para deportistas de nivel intermedio y avanzado.,4.3,254
2,Guantes de boxeo Pro 533,Artes marciales mixtas,Guantes de boxeo,IronMax,94.02,158,México,español,Artículo de Guantes de boxeo ideal para deportistas de nivel intermedio y avanzado.,4.5,467
3,Guantes de boxeo Max 216,Artes marciales mixtas,Guantes de boxeo,MuscleLab,74.63,121,Argentina,español,Artículo de Guantes de boxeo ideal para deportistas de nivel intermedio y avanzado.,3.7,103
4,Guantes de boxeo Ultra 987,Artes marciales mixtas,Guantes de boxeo,EnduraFit,141.43,70,Perú,español,Artículo de Guantes de boxeo ideal para deportistas de nivel intermedio y avanzado.,4.8,423
5,Guantes de boxeo Max 470,Artes marciales mixtas,Guantes de boxeo,IronMax,56.39,183,Colombia,español,Artículo de Guantes de boxeo ideal para deportistas de nivel intermedio y avanzado.,4.2,17
6,Guantes de boxeo Max 235,Artes marciales mixtas,Guantes de boxeo,NutriSport,124.22,132,Perú,español,Artículo de Guantes de boxeo ideal para deportistas de nivel intermedio y avanzado.,4.1,341
7,Guantes de boxeo Ultra 556,Artes marciales mixtas,Guantes de boxeo,AthletiCore,24.21,97,Perú,español,Artículo de Guantes de boxeo ideal para deportistas de nivel intermedio y avanzado.,4.8,259
8,Guantes de boxeo Pro 302,Artes marciales mixtas,Guantes de boxeo,MuscleLab,106.9,140,Colombia,español,Artículo de Guantes de boxeo ideal para deportistas de nivel intermedio y avanzado.,5.0,9
9,Guantes de boxeo Ultra 162,Artes marciales mixtas,Guantes de boxeo,MuscleLab,32.39,161,España,español,Artículo de Guantes de boxeo ideal para deportistas de nivel intermedio y avanzado.,4.5,337
10,Guantes de boxeo Elite 863,Artes marciales mixtas,Guantes de boxeo,NutriSport,75.11,105,Perú,español,Artículo de Guantes de boxeo ideal para deportistas de nivel intermedio y avanzado.,4.7,322
11,Guantes de boxeo Advance 809,Artes marciales mixtas,Guantes de boxeo,NutriSport,24.87,193,Argentina,español,Artículo de Guantes de boxeo ideal para deportistas de nivel intermedio y avanzado.,4.7,57
12,Guantes de boxeo Elite 617,Artes marciales mixtas,Guantes de boxeo,EnduraFit,57.41,133,España,español,Artículo de Guantes de boxeo ideal para deportistas de nivel intermedio y avanzado.,3.8,239
13,Guantes de boxeo Advance 961,Artes marciales mixtas,Guantes de boxeo,IronMax,107.92,40,Perú,español,Artículo de Guantes de boxeo ideal para deportistas de nivel intermedio y avanzado.,3.7,269
